Label;Y;X
899;309;807
899;309;808
899;309;809
899;309;810
899;309;811
900;309;813
900;309;814
901;309;826
902;310;789
902;310;790
903;310;802
903;310;803
903;310;804
903;310;805
903;310;806
904;310;815
905;310;827
906;310;894
907;311;787
907;311;788
908;311;797
908;311;798
908;311;799
908;311;800
908;311;801
909;311;816
909;311;817
910;311;828
911;311;893
912;311;895
912;311;896
913;312;785
913;312;786
913;313;785
913;314;785
913;314;786
914;312;792
914;312;793
914;312;794
914;312;795
914;312;796
915;312;818
915;312;819
916;312;829
917;312;894
917;313;894
918;312;897
919;313;787
919;313;788
919;313;789
919;313;790
919;313;791
920;313;820
921;313;830
921;314;830
922;313;898
923;314;821
923;314;822
924;314;895
925;314;899
925;314;900
926;315;823
926;315;824
927;315;831
928;315;896
929;315;901
930;316;825
931;316;832
932;316;897
933;316;902
934;317;826
934;317;827
935;317;833
936;317;898
936;318;898
937;317;903
937;317;904
938;318;828
938;318;829
939;318;834
940;318;905
941;319;830
942;319;835
943;319;899
944;319;906
944;319;907
945;320;831
945;320;832
946;320;836
947;320;900
947;321;900
948;320;908
949;321;833
949;321;834
950;321;837
950;322;837
950;322;836
950;322;835
951;321;909
952;322;901
953;322;910
953;322;911
954;323;902
955;323;912
956;324;548
956;324;549
956;324;550
956;324;551
956;324;552
956;324;553
957;324;903
957;325;903
958;324;913
959;324;935
959;324;936
959;324;937
959;324;938
959;324;939
959;324;940
959;324;941
959;324;942
959;324;943
959;324;944
959;325;944
959;325;943
